country,year,oze_share,energy_price,inflation,gdp_per_capita
Bulgaria,2017,18.695,0.08630666666666667,1.2,8840.0
Cyprus,2017,10.478,0.16769333333333333,0.7,23500.0
Czech Republic,2017,14.799,0.14764666666666668,2.5,20760.0
Germany,2017,15.472,0.2601833333333333,1.7,42960.0
Denmark,2017,34.387,0.20970333333333332,1.1,53200.0
Estonia,2017,29.538,0.10606333333333334,3.7,20270.0
Greece,2017,17.3,0.15587666666666664,1.1,16430.0
Spain,2017,17.118,0.24747,2.0,26110.0
Finland,2017,40.857,0.16043666666666667,0.8,42910.0
France,2017,15.847,0.16687333333333332,1.2,36140.0
Croatia,2017,27.28,0.12415666666666667,1.3,12910.0
Hungary,2017,13.556,0.09950666666666666,2.4,13460.0
Ireland,2017,10.52,0.23137666666666667,0.3,65370.0
Iceland,2017,74.104,0.16546,-1.7,57910.0
Italy,2017,18.267,0.20203000000000002,1.3,30160.0
Lithuania,2017,26.038,0.09144666666666666,3.7,16090.0
Luxembourg,2017,6.194,0.15883666666666668,2.1,104020.0
Latvia,2017,39.008,0.13637,2.9,14850.0
Montenegro,2017,39.693,0.09989,2.7,7120.0
North Macedonia,2017,19.636,0.07353666666666667,2.1,5610.0
Malta,2017,7.219,0.229,1.3,28530.0
Netherlands,2017,6.507,0.12117272727272727,1.3,47390.0
Norway,2017,70.036,0.17327333333333333,1.9,62850.0
Poland,2017,11.059,0.12528333333333333,1.6,12870.0
Portugal,2017,30.611,0.19683666666666666,1.6,20020.0
Romania,2017,24.454,0.10545333333333334,1.1,10620.0
Serbia,2017,20.287,0.09261666666666667,3.3,6430.0
Sweden,2017,53.39,0.18868333333333334,1.9,46420.0
Slovenia,2017,21.658,0.14575,1.6,21830.0
Slovakia,2017,11.465,0.12636,1.4,16730.0
Albania,2018,36.572,0.08093333333333333,1.8,4730.0
Austria,2018,33.784,0.18398666666666666,2.1,45140.0
Belgium,2018,9.472,0.25442333333333333,2.3,41610.0
Bulgaria,2018,20.581,0.08833666666666667,2.6,9170.0
Cyprus,2018,13.873,0.19530666666666668,0.8,24690.0
Czech Republic,2018,15.139,0.15937,1.9,21320.0
Germany,2018,16.66,0.25716,1.9,43390.0
Denmark,2018,35.159,0.22102333333333332,0.7,53920.0
Estonia,2018,29.97,0.11826,3.4,20970.0
Greece,2018,18.001,0.1587333333333333,0.8,16810.0
Spain,2018,17.023,0.26075333333333334,1.7,26620.0
Finland,2018,41.185,0.16789333333333334,1.2,43360.0
France,2018,16.384,0.18524666666666667,2.1,36570.0
Croatia,2018,28.047,0.13151666666666667,1.6,13460.0
Hungary,2018,12.548,0.09695999999999999,2.9,14240.0
Ireland,2018,10.942,0.23340333333333335,0.7,69390.0
Iceland,2018,77.173,0.15793333333333334,0.7,59120.0
Italy,2018,17.796,0.19918,1.2,30470.0
Lithuania,2018,24.695,0.09040000000000001,2.5,17030.0
Luxembourg,2018,8.942,0.17085,2.0,103640.0
Latvia,2018,40.019,0.13526333333333335,2.6,15610.0
Montenegro,2018,38.801,0.10233666666666667,2.6,7460.0
North Macedonia,2018,18.179,0.07093333333333333,2.3,5800.0
Malta,2018,7.914,0.22071,1.7,29510.0
Netherlands,2018,7.394,0.14320833333333333,1.6,48180.0
Norway,2018,71.566,0.19306333333333334,3.0,63130.0
Poland,2018,14.936,0.11879333333333333,1.2,13680.0
Portugal,2018,30.203,0.19515666666666667,1.2,20620.0
Romania,2018,23.875,0.11241,4.1,11260.0
Serbia,2018,20.32,0.09632666666666667,2.0,6770.0
